term,beta_1se_halfand10,beta_min_halfand10,beta_1se_1and10,beta_min_1and10,beta_1se_1and20,beta_min_1and20,beta_1se_Tracts_half,beta_min_Tracts_half,beta_1se_Tracts1,beta_min_Tracts1
Urban1:CensusTract36119014804,0,0,0,0,6.451529021508695e-4,6.451529021508695e-4,0,0,6.451529021508695e-4,6.451529021508695e-4
Urban1:CountyNew York,-0.0036417037959776684,-0.004733276046161079,0,0,0,0,-0.0040373431540275465,-0.004215734636263442,0,0
Urban0:CountyOtsego,0,0.0728672491357895,0,0,0,0,0,0,0,0
Urban1:CountySchoharie,0,0,0,0,2.0328962262615532e-16,2.0328962262615532e-16,0,0,2.0328962262615532e-16,2.0328962262615532e-16
Urban1:CountySt. Lawrence,0,0,0,0,0.029045728815577918,0.029045728815577918,0,0,0.029045728815577918,0.029045728815577918
Urban1:CountyWestchester,0,0,0,0,-0.013414498836128493,-0.013414498836128493,0,0,-0.013414498836128493,-0.013414498836128493
Year2019:CensusTract36007013201,0,0,0,0,0.03988147545391417,0.03988147545391417,0,0,0.03988147545391417,0.03988147545391417
Year2015:CensusTract36025970900,0,0,0,0,0,0,0,6.364741486793829e-4,0,0
Year2019:CensusTract36029014501,0,0,0,0,0.038084215896279146,0.038084215896279146,0,0,0.038084215896279146,0.038084215896279146
Year2019:CensusTract36047001100,0.041566521067410725,0.6282487712418536,0,0,0,0,0.33201904559277196,0.5764986604689888,0,0
Year2019:CensusTract36055006700,0,0,0,0,0.024881603697443067,0.024881603697443067,0,0,0.024881603697443067,0.024881603697443067
Year2019:CensusTract36055006800,0,0,0,0,0.03301640825991284,0.03301640825991284,0,0,0.03301640825991284,0.03301640825991284
Year2015:CensusTract36057072100,0,0,0,0,0.011574105364456404,0.011574105364456404,0,0,0.011574105364456404,0.011574105364456404
Year2019:CensusTract36067002000,0,0,0,0,0.030953397595680537,0.030953397595680537,0,0,0.030953397595680537,0.030953397595680537
Year2019:CensusTract36067006000,0,0,0,0,0.03807747163282903,0.03807747163282903,0,0,0.03807747163282903,0.03807747163282903
Year2019:CensusTract36067012900,0,0,0,0,0.025956224861956673,0.025956224861956673,0,0,0.025956224861956673,0.025956224861956673
Year2015:CensusTract36069050900,0,0,0,0,0.03342892811398478,0.03342892811398478,0,0,0.03342892811398478,0.03342892811398478
Year2015:CensusTract36089491600,0,0,0,0,0.10540129208220021,0.10540129208220021,0,0,0.10540129208220021,0.10540129208220021
Year2019:CensusTract36119014703,0,0,0,0,0.010611218883963016,0.010611218883963016,0,0,0.010611218883963016,0.010611218883963016
Urban1:Year2019:CensusTract36001000100,0,0,0,0,3.9487877384374194e-4,3.9487877384374194e-4,0,0,3.9487877384374194e-4,3.9487877384374194e-4
Urban1:Year2019:CensusTract36007013201,0,0,0,0,2.8750989913200543e-16,2.8750989913200543e-16,0,0,2.8750989913200543e-16,2.8750989913200543e-16
Urban1:Year2015:CensusTract36015000300,0,0,0,0,1.4375494956600272e-16,1.4375494956600272e-16,0,0,1.4375494956600272e-16,1.4375494956600272e-16
Urban1:Year2015:CensusTract36025970900,0,0,0,0,0,0,0,2.1461836902582842e-16,0,0
Urban1:Year2019:CensusTract36029004100,0,0,0,0,7.187747478300136e-17,7.187747478300136e-17,0,0,7.187747478300136e-17,7.187747478300136e-17
Urban1:Year2019:CensusTract36029004402,0,0,0,0,0.0028591882944756374,0.0028591882944756374,0,0,0.0028591882944756374,0.0028591882944756374
Urban1:Year2019:CensusTract36029014501,0,0,0,0,2.1563242434900405e-16,2.1563242434900405e-16,0,0,2.1563242434900405e-16,2.1563242434900405e-16
Urban1:Year2019:CensusTract36029016300,0,0,0,0,7.187747478300136e-17,7.187747478300136e-17,0,0,7.187747478300136e-17,7.187747478300136e-17
Urban1:Year2019:CensusTract36047001100,0,3.0421095453057244e-15,0,0,0,0,6.223932701749024e-15,4.292367380516568e-15,0,0
Urban1:Year2019:CensusTract36055006700,0,0,0,0,7.187747478300136e-17,7.187747478300136e-17,0,0,7.187747478300136e-17,7.187747478300136e-17
Urban1:Year2015:CensusTract36055980100,0,0,0,0,1.4375494956600272e-16,1.4375494956600272e-16,0,0,1.4375494956600272e-16,1.4375494956600272e-16
Urban1:Year2015:CensusTract36057070200,0,0,0,0,7.187747478300136e-17,7.187747478300136e-17,0,0,7.187747478300136e-17,7.187747478300136e-17
Urban1:Year2015:CensusTract36057072100,0,0,0,0,1.4375494956600272e-16,1.4375494956600272e-16,0,0,1.4375494956600272e-16,1.4375494956600272e-16
Urban1:Year2019:CensusTract36059406300,0,0,0,0,1.2937945460940245e-15,1.2937945460940245e-15,0,0,1.2937945460940245e-15,1.2937945460940245e-15
Urban1:Year2015:CensusTract36059409100,0,0,0,0,7.187747478300136e-17,7.187747478300136e-17,0,0,7.187747478300136e-17,7.187747478300136e-17
Urban1:Year2015:CensusTract36059415000,0,0,0,0,7.187747478300136e-17,7.187747478300136e-17,0,0,7.187747478300136e-17,7.187747478300136e-17
Urban1:Year2019:CensusTract36059415102,0,0,0,0,7.187747478300136e-17,7.187747478300136e-17,0,0,7.187747478300136e-17,7.187747478300136e-17
Urban1:Year2019:CensusTract36059520800,0,0,0,0,7.187747478300136e-17,7.187747478300136e-17,0,0,7.187747478300136e-17,7.187747478300136e-17
Urban1:Year2015:CensusTract36061000100,0,0,0,0,2.1563242434900405e-16,2.1563242434900405e-16,0,0,2.1563242434900405e-16,2.1563242434900405e-16
Urban1:Year2019:CensusTract36067006000,0,0,0,0,7.187747478300136e-17,7.187747478300136e-17,0,0,7.187747478300136e-17,7.187747478300136e-17
Urban1:Year2019:CensusTract36067012900,0,0,0,0,7.187747478300136e-17,7.187747478300136e-17,0,0,7.187747478300136e-17,7.187747478300136e-17
Urban1:Year2015:CensusTract36069050900,0,0,0,0,7.187747478300136e-17,7.187747478300136e-17,0,0,7.187747478300136e-17,7.187747478300136e-17
Urban1:Year2015:CensusTract36075021602,0,0,0,0,7.187747478300136e-17,7.187747478300136e-17,0,0,7.187747478300136e-17,7.187747478300136e-17
Urban1:Year2015:CensusTract36089491600,0,0,0,0,3.5938737391500676e-16,3.5938737391500676e-16,0,0,3.5938737391500676e-16,3.5938737391500676e-16
Urban1:Year2015:CensusTract36093020300,0,0,0,0,7.187747478300136e-17,7.187747478300136e-17,0,0,7.187747478300136e-17,7.187747478300136e-17
Urban1:Year2019:CensusTract36111952100,0,0,0,0,-1.859266567286927e-5,-1.859266567286927e-5,0,0,-1.859266567286927e-5,-1.859266567286927e-5
Urban1:Year2019:CensusTract36119014703,0,0,0,0,1.4375494956600272e-16,1.4375494956600272e-16,0,0,1.4375494956600272e-16,1.4375494956600272e-16
Urban1:Year2019:CensusTract36007001600,0,0,0,7.385953437270347e-17,0,0,0,0,0,0
Urban1:Year2015:CensusTract36093020101,0,0,0,7.385953437270347e-17,7.187747478300136e-17,7.187747478300136e-17,0,0,7.187747478300136e-17,7.187747478300136e-17
Urban0:Year2015:CensusTract36001014802,0,0,0,1.4771906874540694e-16,0,0,0,0,0,0
Urban1:Year2019:CensusTract36029007202,0,0,0,1.4771906874540694e-16,7.187747478300136e-17,7.187747478300136e-17,0,0,7.187747478300136e-17,7.187747478300136e-17
Urban0:Year2019:CensusTract36033940000,0,0,0,1.4771906874540694e-16,0,0,0,0,0,0
Urban1:Year2019:CensusTract36045061400,0,0,0,1.4771906874540694e-16,7.187747478300136e-17,7.187747478300136e-17,0,0,7.187747478300136e-17,7.187747478300136e-17
Urban1:Year2019:CensusTract36047107000,0,0,0,1.4771906874540694e-16,0,0,0,0,0,0
